Groupe	Genre	HabitudeTravaillerEnsemble	DifficulteTrouverRoche	QualificationTravailEquipe	BonneCommunication	PerformancePerso	PerformanceCoeq	EquilibreParole	EquilibreQuestions	BonneEquipe	HabitudeGuider	HabitudeEtreGuider	SensOrientation	GeneVisionCoeq	PdCs	Module	Role	ChronoSec	TrouveRoche
28	Homme	1	2	LentementMaisVigilant,Efficace	OUI	3	4	Moi	Moi	OUI	NON	NON	OUI	UnPeu	4	M1	CapCom	476	OUI
28	Homme	1	1	Efficace,Méthodique	OUI	4	4	Coéquipier	Moi	OUI	Parfois	Parfois	OUI	NON	4	M1	Astro	476	OUI
29	Femme	5	3	BonneAmbiance	OUI	4	4	Equitable	Equitable	OUI	NON	NON	Ignorer	UnPeu	4	M1	Astro	627	OUI
29	Femme	5	2	BonneAmbiance,Méthodique	OUI	3	4	Equitable	Moi	OUI	NON	NON	NON	UnPeu	4	M1	CapCom	627	OUI
32	Homme	3	1	Stressant,Méthodique	Ignorer	4	4	Equitable	Moi	OUI	NON	NON	NON	NON	2	M2	Astro	755	OUI
32	Femme	4	1	Efficace,Dynamique	OUI	3	4	Equitable	Moi	OUI	OUI	NON	OUI	NON	5	M2	CapCom	755	OUI
33	Homme	2	3	LentementMaisVigilant,Méthodique	OUI	3	3	Coéquipier	Coéquipier	OUI	NON	OUI	NON	UnPeu	3	M2	Astro	1216	OUI
33	Femme	3	3	Chaotique,BonneAmbiance	NON	3	3	Moi	Moi	Ignorer	NON	OUI	NON	OUI	4	M2	CapCom	1226	OUI
34	Femme	5	3	Frustrant,BonneAmbiance	OUI	3	3	Moi	Moi	Ignorer	NON	NON	Ignorer	OUI	2	M1	CapCom	922	OUI
34	Femme	5	3	BonneAmbiance,Dynamique	OUI	3	4	Equitable	Coéquipier	OUI	NON	NON	NON	UnPeu	2	M1	Astro	922	OUI
35	Homme	4	3	LentementMaisVigilant	OUI	3	4	Coéquipier	Coéquipier	OUI	NON	NON	NON	OUI	2	M2	Astro	768	OUI
35	Femme	2	2	BonneAmbiance,complémentaire	OUI	4	5	Moi	Moi	OUI	Parfois	Parfois	OUI	UnPeu	4	M2	CapCom	766	OUI
36	Homme	4	3	Chaotique	NON	3	2	Moi	Moi	Ignorer	Parfois	NON	OUI	NON	5	M1	CapCom	877	OUI
36	Homme	3	3	Chaotique	NON	3	2	Equitable	Coéquipier	NON	Parfois	NON	OUI	OUI	2	M1	Astro	877	OUI
38	Femme	1	4	Stressant	OUI	1	2	Equitable	Coéquipier	Ignorer	NON	NON	NON	NON	4	M2	Astro	930	NON
38	Homme	2	4	Dynamique	OUI	2	2	Equitable	Moi	NON	Parfois	NON	OUI	NON	2	M2	CapCom	930	NON
39	Femme	5	2	Chaotique,BonneAmbiance	NON	3	3	Equitable	Moi	OUI	NON	NON	NON	NON	4	M1	Astro	597	OUI
39	Femme	4	2	BonneAmbiance,Méthodique	OUI	4	3	Moi	Equitable	OUI	OUI	Parfois	NON	UnPeu	3	M1	CapCom	540	OUI
40	Homme	4	3	Méthodique	OUI	4	4	Coéquipier	Moi	OUI	NON	NON	OUI	UnPeu	2	M1	CapCom	552	OUI
40	Homme	4	2	LentementMaisVigilant	OUI	4	4	Equitable	Moi	OUI	Parfois	NON	OUI	NON	3	M1	Astro	552	OUI
41	Femme	4	2	Efficace,BonneAmbiance	OUI	3	4	Moi	Equitable	OUI	Parfois	Parfois	OUI	UnPeu	5	M1	CapCom	493	OUI
41	Femme	5	2	Efficace	OUI	4	4	Equitable	Moi	OUI	OUI	OUI	NON	UnPeu	4	M1	Astro	492	OUI
